,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Arthritis,Binge_Drinking,High_Blood_Pressure,Cancer,Asthma,Coronary_Heart_Disease,Chronic_Pulmonary_Disease,Diabetes,Sleep,Stroke,Obesity,Smoking
0,AL,Birmingham,107000,1073000100,0107000-01073000100,31.2,10.3,47.7,5.3,13.4,7.8,11.3,17.4,45.5,5.5,46.4,27.9
1,AL,Birmingham,107000,1073000300,0107000-01073000300,30.5,10.5,48.2,4.7,12.5,8.6,11.9,19.8,44.5,6.1,47.8,29.3
2,AL,Birmingham,107000,1073000400,0107000-01073000400,31.5,10.4,49.1,5.3,13.3,7.5,10.5,18.4,45.7,5.6,45.7,25.9
3,AL,Birmingham,107000,1073000500,0107000-01073000500,35.0,9.1,54.1,6.0,13.6,9.6,12.3,22.4,46.1,7.3,48.0,26.3
4,AL,Birmingham,107000,1073000700,0107000-01073000700,36.3,7.6,56.5,5.9,14.7,11.4,14.8,25.0,48.3,9.0,52.7,30.9
5,AL,Birmingham,107000,1073000800,0107000-01073000800,37.5,8.6,57.3,6.9,13.4,10.6,12.7,24.1,44.8,7.9,48.2,25.1
6,AL,Birmingham,107000,1073001100,0107000-01073001100,32.5,9.9,50.0,6.5,12.4,7.3,8.4,18.0,42.4,5.3,42.3,18.4
7,AL,Birmingham,107000,1073001200,0107000-01073001200,33.7,10.2,52.2,6.5,12.0,8.6,9.8,20.2,43.4,6.3,44.4,21.1
8,AL,Birmingham,107000,1073001400,0107000-01073001400,34.5,9.6,53.0,7.0,11.9,9.0,9.5,20.4,42.8,6.5,43.1,19.4
9,AL,Birmingham,107000,1073001500,0107000-01073001500,33.2,9.8,52.9,5.6,13.2,9.2,11.7,21.3,46.5,6.8,48.0,27.0
10,AL,Birmingham,107000,1073001600,0107000-01073001600,36.5,9.0,53.7,6.7,13.7,10.1,12.6,21.8,44.8,7.3,45.8,25.7
11,AL,Birmingham,107000,1073001902,0107000-01073001902,33.1,9.7,51.5,5.2,13.8,8.7,12.1,20.5,46.5,6.5,48.6,28.6
12,AL,Birmingham,107000,1073002000,0107000-01073002000,35.0,9.2,51.3,6.0,13.9,9.0,13.0,20.2,45.4,6.5,48.1,28.1
13,AL,Birmingham,107000,1073002100,0107000-01073002100,31.2,10.6,46.9,5.6,13.1,7.3,10.4,16.5,44.2,5.1,44.5,25.0
14,AL,Birmingham,107000,1073002200,0107000-01073002200,30.9,10.5,48.8,5.3,13.1,7.1,9.8,17.9,45.3,5.3,45.1,24.7
15,AL,Birmingham,107000,1073002303,0107000-01073002303,31.6,9.3,50.2,5.0,14.3,8.2,11.9,19.8,47.0,6.4,49.4,29.2
16,AL,Birmingham,107000,1073002305,0107000-01073002305,22.3,16.5,30.5,5.1,10.1,4.0,5.4,8.1,34.7,2.3,31.5,16.1
17,AL,Birmingham,107000,1073002306,0107000-01073002306,26.0,15.8,33.1,7.2,9.1,5.4,5.8,8.7,31.8,2.7,28.0,13.4
18,AL,Birmingham,107000,1073002400,0107000-01073002400,28.6,11.6,44.1,5.0,12.6,7.3,10.2,16.1,43.5,5.1,44.4,26.1
19,AL,Birmingham,107000,1073002700,0107000-01073002700,26.7,13.3,43.8,4.7,11.4,7.2,9.5,15.6,42.0,4.9,42.9,25.9
20,AL,Birmingham,107000,1073002900,0107000-01073002900,36.6,8.7,56.2,6.3,13.5,10.1,12.3,23.4,46.9,7.6,48.7,25.5
21,AL,Birmingham,107000,1073003001,0107000-01073003001,24.2,13.9,37.5,4.5,12.5,6.1,8.1,13.8,38.9,4.3,36.3,20.4
22,AL,Birmingham,107000,1073003002,0107000-01073003002,38.4,7.8,57.6,6.8,13.9,11.0,13.6,24.8,45.6,8.5,49.2,25.5
23,AL,Birmingham,107000,1073003100,0107000-01073003100,32.9,9.8,51.9,5.4,13.3,8.4,11.0,20.4,45.2,6.3,48.3,26.0
24,AL,Birmingham,107000,1073003200,0107000-01073003200,36.9,8.0,57.0,6.0,14.4,11.1,14.3,24.9,47.9,8.7,52.4,29.6
