system:index,MATCH1_x,mean
710,36Census Tract 251,0.14275326
724,36Census Tract 141,0.267881719
728,36Census Tract 231,0.280483876
00000000000000000fa7,35Census Tract 47.391,0.115336421
00000000000000000fa9,35Census Tract 47.481,0.133018139
000000000000000017c1,8Census Tract 791,0.170170307
000000000000000017c3,8Census Tract 90.021,0.16286652
000000000000000017c4,8Census Tract 92.041,0.169949727
000000000000000017c5,8Census Tract 93.081,0.153395229
000000000000000017c6,8Census Tract 93.101,0.169805618
000000000000000017c8,8Census Tract 93.181,0.148276872
1.70E+09,8Census Tract 85.461,0.191977967
1805,8Census Tract 85.061,0.150602654
1809,16Census Tract 61,0.272468165
0000000000000000180b,16Census Tract 91,0.223241884
0000000000000000180d,16Census Tract 171,0.239642474
1810,16Census Tract 8.041,0.254289352
1814,16Census Tract 23.121,0.243487544
1934,11Census Tract 40.011,0.162917185
0000000000000000193c,11Census Tract 96.041,0.192140201
0000000000000000193d,11Census Tract 31,0.214392535
1948,11Census Tract 27.021,0.194659149
0000000000000000194d,11Census Tract 561,0.15339613
1950,11Census Tract 13.021,0.309420733
1951,11Census Tract 551,0.135130453
1954,11Census Tract 20.011,0.208196158
0000000000000000195a,11Census Tract 76.011,0.143404497
0000000000000000195b,11Census Tract 391,0.21238194
0000000000000000196e,11Census Tract 77.031,0.26362454
1970,11Census Tract 78.031,0.238705251
1971,11Census Tract 78.041,0.236823329
1975,11Census Tract 98.101,0.229166157
0000000000000000197d,11Census Tract 22.021,0.226685101
1982,11Census Tract 1101,0.096377897
0000000000000000198f,11Census Tract 711,0.108958633
1994,11Census Tract 971,0.211848028
1995,11Census Tract 98.011,0.243340552
0000000000000000199c,11Census Tract 78.081,0.20330113
000000000000000019ac,11Census Tract 341,0.133417193
000000000000000019d6,9Census Tract 2221,0.15124689
000000000000000019d9,9Census Tract 7021,0.166381585
1.90E+02,9Census Tract 7391,0.131467398
00000000000000001a00,9Census Tract 7351,0.138306828
00000000000000001a01,9Census Tract 7371,0.171979945
00000000000000001a02,9Census Tract 7381,0.137718328
1.00E+05,23Census Tract 2031,0.185348709
2043,34Census Tract 31,0.098747698
2046,34Census Tract 51,0.050976806
2162,6Census Tract 40611,0.072612192
0000000000000000223a,6Census Tract 44121,0.221272185
2248,6Census Tract 43591,0.174710368
000000000000000026f8,6Census Tract 44411,0.226479329
000000000000000027c6,6Census Tract 42771,0.023981705
000000000000000027d5,6Census Tract 42811,0.176125038
000000000000000027d6,6Census Tract 42821,0.046529293
000000000000000027db,6Census Tract 4283.021,0.144003149
2.70E+07,6Census Tract 42841,-0.112552003
000000000000000027f9,6Census Tract 42851,0.018356965
2813,6Census Tract 42711,0.120938722
2814,6Census Tract 42721,0.046823335
2860,6Census Tract 4419.251,0.276965379
0000000000000000287a,6Census Tract 40641,0.188767114
00000000000000002b97,6Census Tract 40331,0.07807135
00000000000000002bca,6Census Tract 40341,0.041107477
00000000000000002be6,6Census Tract 42121,0.272604133
00000000000000002c12,6Census Tract 42151,0.29747592
00000000000000002c2c,6Census Tract 43121,0.209434443
6.00E+01,36Census Tract 161,0.296344169
715,36Census Tract 5.021,0.301152096
0000000000000000071c,36Census Tract 81,0.176267758
0000000000000000071d,36Census Tract 5.011,0.241365681
0000000000000000071e,36Census Tract 221,0.202861225
0000000000000000071f,36Census Tract 221,0.202861225
720,36Census Tract 221,0.202861225
721,36Census Tract 221,0.202861225
722,36Census Tract 61,0.191035087
723,36Census Tract 1331,0.26413376
725,36Census Tract 151,0.267739069
726,36Census Tract 171,0.327041043
727,36Census Tract 171,0.327041043
00000000000000000fa8,35Census Tract 47.331,0.125559591
00000000000000000faa,35Census Tract 47.491,0.115001111
00000000000000000fab,35Census Tract 1.101,0.149098993
00000000000000000fac,35Census Tract 1.291,0.142425639
00000000000000000fad,35Census Tract 47.341,0.117201294
00000000000000000fae,35Census Tract 6.031,0.12232882
00000000000000000faf,35Census Tract 7.121,0.143497843
00000000000000000fb0,35Census Tract 37.141,0.148271215
00000000000000000fb1,35Census Tract 9.011,0.140911781
00000000000000000fb2,35Census Tract 37.381,0.166599508
000000000000000012cb,6Census Tract 43361,0.167620371
0000000000000000140f,6Census Tract 4382.041,0.149570487
1410,6Census Tract 4403.361,0.232613746
1416,6Census Tract 4419.261,0.204910439
1417,6Census Tract 4423.011,0.221088505
1418,6Census Tract 4426.011,0.222500772
0000000000000000141e,6Census Tract 4431.041,0.252788803
1427,6Census Tract 4515.051,0.273970543
0000000000000000142a,6Census Tract 4515.061,0.270835756
0000000000000000142b,6Census Tract 4517.041,0.265799776
0000000000000000142f,6Census Tract 4059.021,0.152440545
1430,6Census Tract 41051,0.124171327
1431,6Census Tract 4251.041,0.108414643
1432,6Census Tract 4331.041,0.136743327
0000000000000000143f,6Census Tract 4415.241,0.281464229
1440,6Census Tract 4426.021,0.225310566
1441,6Census Tract 4433.221,0.218577289
1455,6Census Tract 4037.011,0.107697948
1456,6Census Tract 4041.021,0.144353667
0000000000000000145e,6Census Tract 4251.021,0.077064605
0000000000000000145f,6Census Tract 4251.031,0.087685231
